imbalance_threshold,take_profit,stop_loss,position_limit,order_size,total_pnl,total_trades
0.3,1.0,2.5,15,7,287.0,90
0.3,1.0,2.5,15,10,410.0,90
0.3,1.0,2.5,20,3,123.0,90
0.3,1.0,2.5,20,5,205.0,90
0.3,1.0,2.5,20,7,287.0,90
0.3,1.0,2.5,20,10,410.0,90
0.3,1.0,2.5,25,3,123.0,90
0.3,1.0,2.5,25,5,205.0,90
0.3,1.0,2.5,25,7,287.0,90
0.3,1.0,2.5,25,10,410.0,90
0.3,1.0,2.5,30,3,123.0,90
0.3,1.0,2.5,30,5,205.0,90
0.3,1.0,2.5,30,7,287.0,90
0.3,1.0,2.5,30,10,410.0,90
0.3,2.0,0.5,10,3,184.5,90
0.3,2.0,0.5,10,5,307.5,90
0.3,2.0,0.5,10,7,430.5,90
0.3,2.0,0.5,10,10,615.0,90
0.3,2.0,0.5,15,3,184.5,90
0.3,2.0,0.5,15,5,307.5,90
0.3,2.0,0.5,15,7,430.5,90
0.3,2.0,0.5,15,10,615.0,90
0.3,2.0,0.5,20,3,184.5,90
0.3,2.0,0.5,20,5,307.5,90
0.3,2.0,0.5,20,7,430.5,90
0.3,2.0,0.5,20,10,615.0,90
0.3,2.0,0.5,25,3,184.5,90
0.3,2.0,0.5,25,5,307.5,90
0.3,2.0,0.5,25,7,430.5,90
0.3,2.0,0.5,25,10,615.0,90
0.3,2.0,0.5,30,3,184.5,90
